[2023-05-26 14:12:48,322][root][INFO] - Model saved as :2305261412
[2023-05-26 14:12:48,322][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.1}
[2023-05-26 14:12:48,323][root][INFO] - {'_partial_': True, '_target_': 'scr.losses.lovasz_hinge'}
[2023-05-26 14:12:48,324][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': True, 'lr': 0.0001, 'weight_decay': 0.9}
[2023-05-26 14:19:48,782][scr.models_trainer][INFO] - Epoch_0: trainLoss = 5.018173106472965e+24: valLoss = 3.2186213491775803e+25: valMetric = 0.0; test_loss = 6.431782574091991e+25; testMetric = 0.0
[2023-05-26 14:26:50,154][scr.models_trainer][INFO] - Epoch_1: trainLoss = 1.5039423265472326e+25: valLoss = 8.226210702593496e+25: valMetric = 0.0; test_loss = 1.611344461821201e+26; testMetric = 0.0
[2023-05-26 14:33:47,881][scr.models_trainer][INFO] - Epoch_2: trainLoss = 2.067787177508439e+25: valLoss = 8.97135956603392e+25: valMetric = 0.0; test_loss = 1.9006410786238217e+26; testMetric = 0.0
[2023-05-26 14:40:55,154][scr.models_trainer][INFO] - Epoch_3: trainLoss = 2.6405698918127304e+25: valLoss = 2.2472074201570313e+26: valMetric = 0.0; test_loss = 4.337696498947767e+26; testMetric = 0.0
[2023-05-26 14:47:52,532][scr.models_trainer][INFO] - Epoch_4: trainLoss = 3.2115029666157257e+25: valLoss = 7.06988210209906e+25: valMetric = 0.0; test_loss = 1.661994277617724e+26; testMetric = 0.0
[2023-05-26 14:54:49,579][scr.models_trainer][INFO] - Epoch_5: trainLoss = 3.7594142417970624e+25: valLoss = 6.409663538047071e+25: valMetric = 0.0; test_loss = 1.5486112017761367e+26; testMetric = 0.0
[2023-05-26 15:01:51,544][scr.models_trainer][INFO] - Epoch_6: trainLoss = 4.129888873561071e+25: valLoss = 1.9324539838677554e+26: valMetric = 0.0; test_loss = 4.260588858796032e+26; testMetric = 0.0
[2023-05-26 15:08:55,650][scr.models_trainer][INFO] - Epoch_7: trainLoss = 4.57058590997444e+25: valLoss = 4.693247164879111e+26: valMetric = 0.0; test_loss = 9.364500135728692e+26; testMetric = 0.0
[2023-05-26 15:16:06,425][scr.models_trainer][INFO] - Epoch_8: trainLoss = 4.88370021113781e+25: valLoss = 4.222299052197838e+26: valMetric = 0.0; test_loss = 8.21399672554403e+26; testMetric = 0.0
[2023-05-26 15:23:18,691][scr.models_trainer][INFO] - Epoch_9: trainLoss = 5.250807188946542e+25: valLoss = 9.168293130659517e+25: valMetric = 0.0; test_loss = 2.1571402775436574e+26; testMetric = 0.0
[2023-05-26 15:30:37,926][scr.models_trainer][INFO] - Epoch_10: trainLoss = 5.592868519877417e+25: valLoss = 9.472441274127252e+26: valMetric = 0.0; test_loss = 2.0194523244682283e+27; testMetric = 0.0
