[2023-05-19 12:40:06,462][root][INFO] - Model saved as :2305191240
[2023-05-19 12:40:06,463][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.01}
[2023-05-19 12:40:06,463][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': True, 'lr': 1e-05, 'weight_decay': 0.9}
[2023-05-19 12:45:01,816][scr.models_trainer][INFO] - Epoch_0: trainLoss = 1.096076068516665e+22: valLoss = 3.862945975147997e+22: valMetric = 16.23137409451736; test_loss = 1.5619970533364294e+23; testMetric = 13.169391855011554
[2023-05-19 12:49:43,720][scr.models_trainer][INFO] - Epoch_1: trainLoss = 3.140090170892531e+23: valLoss = 5.657352903829326e+22: valMetric = 2.1864271551106036; test_loss = 5.1532408303596675e+23; testMetric = 4.105297705224782
[2023-05-19 12:54:23,644][scr.models_trainer][INFO] - Epoch_2: trainLoss = 8.425123939802067e+23: valLoss = 3.133587196851896e+24: valMetric = 18.002279868151515; test_loss = 7.057852638096203e+24; testMetric = 13.168141719403376
[2023-05-19 12:59:05,789][scr.models_trainer][INFO] - Epoch_3: trainLoss = 1.3533903398449975e+24: valLoss = 1.0128500688719135e+25: valMetric = 18.389435922014584; test_loss = 1.665837511777999e+25; testMetric = 13.168141719403376
[2023-05-19 13:03:50,853][scr.models_trainer][INFO] - Epoch_4: trainLoss = 1.9063394887876593e+24: valLoss = 9.34275624914044e+23: valMetric = 15.196725088070702; test_loss = 3.7999482554559555e+24; testMetric = 13.217892454667616
[2023-05-19 13:08:30,378][scr.models_trainer][INFO] - Epoch_5: trainLoss = 2.467215484181828e+24: valLoss = 4.601465386432147e+23: valMetric = 11.633500160885504; test_loss = 2.757417602213277e+24; testMetric = 13.579571249200576
[2023-05-19 13:13:09,694][scr.models_trainer][INFO] - Epoch_6: trainLoss = 2.9361823316014837e+24: valLoss = 8.892793939178138e+24: valMetric = 18.31453463820851; test_loss = 1.8452047207354484e+25; testMetric = 13.168141719403376
[2023-05-19 13:17:50,857][scr.models_trainer][INFO] - Epoch_7: trainLoss = 3.496709500630552e+24: valLoss = 4.0364228980259074e+25: valMetric = 18.389435922014584; test_loss = 6.676559736678945e+25; testMetric = 13.168141719403376
[2023-05-19 13:22:30,476][scr.models_trainer][INFO] - Epoch_8: trainLoss = 3.9595783135945195e+24: valLoss = 3.657969099387669e+25: valMetric = 18.389435922014584; test_loss = 5.988895653294967e+25; testMetric = 13.168141719403376
[2023-05-19 13:27:10,059][scr.models_trainer][INFO] - Epoch_9: trainLoss = 4.489186742322123e+24: valLoss = 5.023330121159199e+23: valMetric = 1.9677912821314005; test_loss = 3.449724261050083e+24; testMetric = 3.896670754936377
[2023-05-19 13:31:55,146][scr.models_trainer][INFO] - Epoch_10: trainLoss = 5.027931499645042e+24: valLoss = 1.4068654515860513e+26: valMetric = 18.24060773505614; test_loss = 2.4344140740576396e+26; testMetric = 13.168141719403376
[2023-05-19 13:36:34,272][scr.models_trainer][INFO] - Epoch_11: trainLoss = 5.595593357016073e+24: valLoss = 7.235410336525179e+25: valMetric = 18.40475905107647; test_loss = 1.2469776352907961e+26; testMetric = 13.168141719403376
[2023-05-19 13:41:13,226][scr.models_trainer][INFO] - Epoch_12: trainLoss = 6.091534240945811e+24: valLoss = 1.4503611841838498e+24: valMetric = 12.131832925586103; test_loss = 7.414968938272552e+24; testMetric = 13.332691143504709
[2023-05-19 13:45:57,859][scr.models_trainer][INFO] - Epoch_13: trainLoss = 6.948530977329443e+24: valLoss = 4.861479074561484e+24: valMetric = 16.440133480162096; test_loss = 1.6213999656774156e+25; testMetric = 13.168141719403376
[2023-05-19 13:50:37,411][scr.models_trainer][INFO] - Epoch_14: trainLoss = 7.746591932299581e+24: valLoss = 2.1947738790044273e+25: valMetric = 17.889906291019244; test_loss = 4.741142245946758e+25; testMetric = 13.168141719403376
[2023-05-19 13:55:17,883][scr.models_trainer][INFO] - Epoch_15: trainLoss = 8.421922894188284e+24: valLoss = 5.413126610502453e+24: valMetric = 15.650804162051758; test_loss = 1.8566568832790304e+25; testMetric = 13.175386634665855
[2023-05-19 14:00:02,635][scr.models_trainer][INFO] - Epoch_16: trainLoss = 8.960724357729096e+24: valLoss = 2.881403119171239e+25: valMetric = 17.752054654954833; test_loss = 6.231102129447292e+25; testMetric = 13.168141719403376
[2023-05-19 14:04:44,920][scr.models_trainer][INFO] - Epoch_17: trainLoss = 9.70577464848009e+24: valLoss = 1.788930136746061e+24: valMetric = 10.916060016044074; test_loss = 1.0135168976069494e+25; testMetric = 13.74583979995417
[2023-05-19 14:09:24,459][scr.models_trainer][INFO] - Epoch_18: trainLoss = 1.0253559971049934e+25: valLoss = 1.8365712595285926e+24: valMetric = 1.8871090714368695; test_loss = 9.060095404945403e+24; testMetric = 3.913688798683333
[2023-05-19 14:14:03,347][scr.models_trainer][INFO] - Epoch_19: trainLoss = 1.0986933863066285e+25: valLoss = 4.422399660257695e+26: valMetric = 18.26211412405019; test_loss = 7.787900467701457e+26; testMetric = 13.168141719403376
[2023-05-19 14:18:45,112][scr.models_trainer][INFO] - Epoch_20: trainLoss = 1.1694428526692936e+25: valLoss = 2.0227795577849734e+24: valMetric = 1.9713496284921654; test_loss = 9.864753786685604e+24; testMetric = 3.906037635273479
[2023-05-19 14:23:24,798][scr.models_trainer][INFO] - Epoch_21: trainLoss = 1.215815836804254e+25: valLoss = 1.8758316633344162e+25: valMetric = 16.42215970218456; test_loss = 5.217639331248542e+25; testMetric = 13.168141719403376
[2023-05-19 14:28:04,108][scr.models_trainer][INFO] - Epoch_22: trainLoss = 1.2257195998297197e+25: valLoss = 4.73043170343275e+25: valMetric = 18.389435922014584; test_loss = 8.231569932884994e+25; testMetric = 13.168141719403376
[2023-05-19 14:32:49,196][scr.models_trainer][INFO] - Epoch_23: trainLoss = 1.248292521841093e+25: valLoss = 2.2306621564323122e+24: valMetric = 1.9792078255517362; test_loss = 1.0058569066943657e+25; testMetric = 3.9201761779627855
