[2023-05-26 12:44:01,592][root][INFO] - Model saved as :2305261244
[2023-05-26 12:44:01,592][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.1}
[2023-05-26 12:44:01,592][root][INFO] - {'_partial_': True, '_target_': 'scr.losses.lovasz_hinge'}
[2023-05-26 12:44:01,593][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': True, 'lr': 5e-07, 'weight_decay': 0.9}
[2023-05-26 12:48:57,659][scr.models_trainer][INFO] - Epoch_0: trainLoss = 6.793875430077534: valLoss = 4.509021511039317: valMetric = 0.0; test_loss = 12.915143577001428; testMetric = 0.0
[2023-05-26 12:53:50,362][scr.models_trainer][INFO] - Epoch_1: trainLoss = 149265311.01857063: valLoss = 2144116373.4673367: valMetric = 0.0; test_loss = 5100518991.827957; testMetric = 0.0
[2023-05-26 12:58:44,045][scr.models_trainer][INFO] - Epoch_2: trainLoss = 90035620464.53412: valLoss = 454539411702.995: valMetric = 0.0; test_loss = 860330589150.9678; testMetric = 0.0
[2023-05-26 13:03:24,977][scr.models_trainer][INFO] - Epoch_3: trainLoss = 3270988777626.281: valLoss = 48499827028194.414: valMetric = 0.0; test_loss = 70292624595670.71; testMetric = 0.0
[2023-05-26 13:08:04,859][scr.models_trainer][INFO] - Epoch_4: trainLoss = 40807181619276.234: valLoss = 55861475837385.97: valMetric = 0.0; test_loss = 129581062753731.44; testMetric = 0.0
[2023-05-26 13:12:50,759][scr.models_trainer][INFO] - Epoch_5: trainLoss = 293017769908846.56: valLoss = 318481463603838.06: valMetric = 0.0; test_loss = 737888138811766.4; testMetric = 0.0
[2023-05-26 13:17:32,885][scr.models_trainer][INFO] - Epoch_6: trainLoss = 1506286499665700.5: valLoss = 6606003697575329.0: valMetric = 0.0; test_loss = 1.0022174778844282e+16; testMetric = 0.0
[2023-05-26 13:22:12,012][scr.models_trainer][INFO] - Epoch_7: trainLoss = 6140094383377168.0: valLoss = 1.3802978158331914e+17: valMetric = 0.0; test_loss = 1.6895343709076483e+17; testMetric = 0.0
[2023-05-26 13:26:52,524][scr.models_trainer][INFO] - Epoch_8: trainLoss = 2.0762239517462188e+16: valLoss = 3.157714384154129e+17: valMetric = 0.0; test_loss = 3.6896218570999066e+17; testMetric = 0.0
[2023-05-26 13:31:36,442][scr.models_trainer][INFO] - Epoch_9: trainLoss = 6.2299241931905144e+16: valLoss = 5.4055663894045864e+16: valMetric = 0.0; test_loss = 7.90522319782177e+16; testMetric = 0.0
[2023-05-26 13:36:18,951][scr.models_trainer][INFO] - Epoch_10: trainLoss = 1.691475699789816e+17: valLoss = 3.5072711021875963e+18: valMetric = 0.0; test_loss = 5.106574053312609e+18; testMetric = 0.0
[2023-05-26 13:41:00,877][scr.models_trainer][INFO] - Epoch_11: trainLoss = 4.2002314275599846e+17: valLoss = 6.523067744318782e+18: valMetric = 0.0; test_loss = 7.835271175386034e+18; testMetric = 0.0
[2023-05-26 13:45:47,348][scr.models_trainer][INFO] - Epoch_12: trainLoss = 9.550135009159492e+17: valLoss = 1.2780056395868923e+18: valMetric = 0.0; test_loss = 1.8096378066892198e+18; testMetric = 0.0
[2023-05-26 13:50:29,353][scr.models_trainer][INFO] - Epoch_13: trainLoss = 2.109987508579015e+18: valLoss = 9.525062982440317e+18: valMetric = 0.0; test_loss = 1.0394015852638212e+19; testMetric = 0.0
[2023-05-26 13:55:09,627][scr.models_trainer][INFO] - Epoch_14: trainLoss = 4.439957155584231e+18: valLoss = 1.8985799197327938e+19: valMetric = 0.0; test_loss = 2.248185172755746e+19; testMetric = 0.0
[2023-05-26 13:59:56,964][scr.models_trainer][INFO] - Epoch_15: trainLoss = 8.726984373615565e+18: valLoss = 1.756292987712458e+19: valMetric = 0.0; test_loss = 2.014642106142631e+19; testMetric = 0.0
[2023-05-26 14:04:38,099][scr.models_trainer][INFO] - Epoch_16: trainLoss = 1.662386068460256e+19: valLoss = 7.430213585104159e+19: valMetric = 0.0; test_loss = 8.367876705228715e+19; testMetric = 0.0
[2023-05-26 14:09:18,591][scr.models_trainer][INFO] - Epoch_17: trainLoss = 3.03827583087068e+19: valLoss = 8.087554066663068e+19: valMetric = 0.0; test_loss = 8.074231335985475e+19; testMetric = 0.0
[2023-05-26 14:14:35,177][scr.models_trainer][INFO] - Epoch_18: trainLoss = 5.378500951199665e+19: valLoss = 2.042069336622979e+20: valMetric = 0.0; test_loss = 1.6063194536168994e+20; testMetric = 0.0
[2023-05-26 14:21:27,074][scr.models_trainer][INFO] - Epoch_19: trainLoss = 9.260316936340428e+19: valLoss = 3.7334744200289714e+21: valMetric = 0.0; test_loss = 4.923694010261428e+21; testMetric = 0.0
[2023-05-26 14:28:38,171][scr.models_trainer][INFO] - Epoch_20: trainLoss = 1.5352502450770926e+20: valLoss = 3.2404911461249365e+20: valMetric = 0.0; test_loss = 2.310575876641147e+20; testMetric = 0.0
[2023-05-26 14:35:24,205][scr.models_trainer][INFO] - Epoch_21: trainLoss = 2.477184504161998e+20: valLoss = 8.649834005697284e+20: valMetric = 0.0; test_loss = 1.0377896739129629e+21; testMetric = 0.0
[2023-05-26 14:42:24,599][scr.models_trainer][INFO] - Epoch_22: trainLoss = 3.903569284780142e+20: valLoss = 3.3647641709296317e+21: valMetric = 0.0; test_loss = 2.1292511224624468e+21; testMetric = 0.0
[2023-05-26 14:49:24,656][scr.models_trainer][INFO] - Epoch_23: trainLoss = 6.07220418404375e+20: valLoss = 1.9740097681191647e+21: valMetric = 0.0; test_loss = 1.4815498609970632e+21; testMetric = 0.0
[2023-05-26 14:56:13,951][scr.models_trainer][INFO] - Epoch_24: trainLoss = 9.364764235642136e+20: valLoss = 5.025012422617286e+21: valMetric = 0.0; test_loss = 4.387255887153473e+21; testMetric = 0.0
[2023-05-26 15:03:12,071][scr.models_trainer][INFO] - Epoch_25: trainLoss = 1.395951534161526e+21: valLoss = 1.0591501380678488e+22: valMetric = 0.0; test_loss = 1.0419545661979675e+22; testMetric = 0.0
[2023-05-26 15:10:12,842][scr.models_trainer][INFO] - Epoch_26: trainLoss = 2.0728399395181413e+21: valLoss = 1.226522251823639e+22: valMetric = 0.0; test_loss = 1.025745683412486e+22; testMetric = 0.0
[2023-05-26 15:17:08,481][scr.models_trainer][INFO] - Epoch_27: trainLoss = 3.039731316360184e+21: valLoss = 1.7687678634680925e+22: valMetric = 0.0; test_loss = 1.6399757701780383e+22; testMetric = 0.0
[2023-05-26 15:24:19,052][scr.models_trainer][INFO] - Epoch_28: trainLoss = 4.363104927896457e+21: valLoss = 2.0896473831247542e+22: valMetric = 0.0; test_loss = 1.9540109113502793e+22; testMetric = 0.0
[2023-05-26 15:31:29,002][scr.models_trainer][INFO] - Epoch_29: trainLoss = 6.131619676071382e+21: valLoss = 2.834624842682516e+22: valMetric = 0.0; test_loss = 4.237808367889776e+22; testMetric = 0.0
[2023-05-26 15:38:39,622][scr.models_trainer][INFO] - Epoch_30: trainLoss = 8.471557637892139e+21: valLoss = 2.378303548652869e+22: valMetric = 0.0; test_loss = 1.8683639636824854e+22; testMetric = 0.0
[2023-05-26 15:45:59,302][scr.models_trainer][INFO] - Epoch_31: trainLoss = 1.1450224579831023e+22: valLoss = 4.486284083932611e+22: valMetric = 0.0; test_loss = 8.16795327047729e+22; testMetric = 0.0
[2023-05-26 15:53:37,680][scr.models_trainer][INFO] - Epoch_32: trainLoss = 1.5399734731480058e+22: valLoss = 1.0012254918409594e+23: valMetric = 0.0; test_loss = 1.0152427670815738e+23; testMetric = 0.0
[2023-05-26 16:01:15,260][scr.models_trainer][INFO] - Epoch_33: trainLoss = 2.044836298360895e+22: valLoss = 7.556106691291736e+22: valMetric = 0.0; test_loss = 4.727486298411836e+22; testMetric = 0.0
[2023-05-26 16:08:50,226][scr.models_trainer][INFO] - Epoch_34: trainLoss = 2.608122897051765e+22: valLoss = 7.029996156336791e+22: valMetric = 0.0; test_loss = 7.741130201709563e+22; testMetric = 0.0
[2023-05-26 16:16:16,309][scr.models_trainer][INFO] - Epoch_35: trainLoss = 3.25009305420504e+22: valLoss = 1.9052001135103824e+23: valMetric = 0.0; test_loss = 1.8070715606360352e+23; testMetric = 0.0
[2023-05-26 16:24:04,089][scr.models_trainer][INFO] - Epoch_36: trainLoss = 4.030784262872655e+22: valLoss = 2.010674897454964e+23: valMetric = 0.0; test_loss = 2.0161256379268233e+23; testMetric = 0.0
[2023-05-26 16:32:09,320][scr.models_trainer][INFO] - Epoch_37: trainLoss = 4.87684032513619e+22: valLoss = 3.064977155096e+23: valMetric = 0.0; test_loss = 2.8516880632857878e+23; testMetric = 0.0
[2023-05-26 16:40:03,351][scr.models_trainer][INFO] - Epoch_38: trainLoss = 5.974193941134504e+22: valLoss = 3.5010664590615176e+23: valMetric = 0.0; test_loss = 3.1628810048426005e+23; testMetric = 0.0
[2023-05-26 16:48:03,748][scr.models_trainer][INFO] - Epoch_39: trainLoss = 7.1010838823657445e+22: valLoss = 3.1222640136018226e+23: valMetric = 0.0; test_loss = 2.4923421928698114e+23; testMetric = 0.0
[2023-05-26 16:55:59,291][scr.models_trainer][INFO] - Epoch_40: trainLoss = 8.44641129945658e+22: valLoss = 5.743747383655487e+23: valMetric = 0.0; test_loss = 5.1858366914324e+23; testMetric = 0.0
[2023-05-26 17:04:00,464][scr.models_trainer][INFO] - Epoch_41: trainLoss = 9.958183651929824e+22: valLoss = 2.332427516283072e+23: valMetric = 0.0; test_loss = 2.573755635838504e+23; testMetric = 0.0
[2023-05-26 17:11:55,535][scr.models_trainer][INFO] - Epoch_42: trainLoss = 1.1574938360596287e+23: valLoss = 1.0105515981579758e+24: valMetric = 0.0; test_loss = 9.906213783984519e+23; testMetric = 0.0
[2023-05-26 17:19:56,472][scr.models_trainer][INFO] - Epoch_43: trainLoss = 1.2892282271545061e+23: valLoss = 2.2330785140620433e+24: valMetric = 0.0; test_loss = 3.341602408359171e+24; testMetric = 0.0
[2023-05-26 17:27:51,836][scr.models_trainer][INFO] - Epoch_44: trainLoss = 1.4511674837466074e+23: valLoss = 3.593537292592577e+23: valMetric = 0.0; test_loss = 3.6080929187050535e+23; testMetric = 0.0
[2023-05-26 17:35:47,643][scr.models_trainer][INFO] - Epoch_45: trainLoss = 1.607855718464335e+23: valLoss = 2.735258169063133e+24: valMetric = 0.0; test_loss = 2.734971126347429e+24; testMetric = 0.0
[2023-05-26 17:43:45,728][scr.models_trainer][INFO] - Epoch_46: trainLoss = 1.794206433954555e+23: valLoss = 4.962063943211614e+23: valMetric = 0.0; test_loss = 6.0304251354531175e+23; testMetric = 0.0
[2023-05-26 17:51:42,516][scr.models_trainer][INFO] - Epoch_47: trainLoss = 1.990089214744333e+23: valLoss = 7.875213153262505e+23: valMetric = 0.0; test_loss = 7.712327401721492e+23; testMetric = 0.0
[2023-05-26 17:59:48,691][scr.models_trainer][INFO] - Epoch_48: trainLoss = 2.2030427892193084e+23: valLoss = 9.429175714892071e+23: valMetric = 0.0; test_loss = 1.0034550296664021e+24; testMetric = 0.0
