[2023-05-26 20:11:00,925][root][INFO] - Model saved as :2305262011
[2023-05-26 20:11:00,925][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.1}
[2023-05-26 20:11:00,926][root][INFO] - {'_partial_': True, '_target_': 'scr.losses.lovasz_hinge'}
[2023-05-26 20:11:00,926][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': True, 'lr': 1e-08, 'weight_decay': 0.9}
[2023-05-26 20:17:24,007][scr.models_trainer][INFO] - Epoch_0: trainLoss = 1.5338404003415185: valLoss = 1.1957816544489646: valMetric = 0.0; test_loss = 1.3651202904280795; testMetric = 0.0
[2023-05-26 20:25:38,592][scr.models_trainer][INFO] - Epoch_1: trainLoss = 1.6013245499820794: valLoss = 1.3924705419109096: valMetric = 0.0; test_loss = 1.628871634442319; testMetric = 0.0
[2023-05-26 20:33:42,637][scr.models_trainer][INFO] - Epoch_2: trainLoss = 1.7095682264254752: valLoss = 1.175836200091108: valMetric = 0.0; test_loss = 1.3372514658076788; testMetric = 0.0
[2023-05-26 20:42:01,450][scr.models_trainer][INFO] - Epoch_3: trainLoss = 1.7967496085906487: valLoss = 1.3745333507432411: valMetric = 0.0; test_loss = 1.6256472743967527; testMetric = 0.0
[2023-05-26 20:51:13,142][scr.models_trainer][INFO] - Epoch_4: trainLoss = 1.8914297695878337: valLoss = 1.1360635188356716: valMetric = 0.0; test_loss = 1.2931144218291006; testMetric = 0.0
[2023-05-26 21:00:44,897][scr.models_trainer][INFO] - Epoch_5: trainLoss = 1.9779015071458972: valLoss = 1.1282206480227523: valMetric = 0.0; test_loss = 1.2984950805223117; testMetric = 0.0
[2023-05-26 21:10:44,741][scr.models_trainer][INFO] - Epoch_6: trainLoss = 2.0821444342020166: valLoss = 1.2294253979496022: valMetric = 0.0; test_loss = 1.4483194120468632; testMetric = 0.0
[2023-05-26 21:20:31,451][scr.models_trainer][INFO] - Epoch_7: trainLoss = 2.2066226492604266: valLoss = 1.4067759819366226: valMetric = 0.0; test_loss = 1.7878655509282184; testMetric = 0.0
[2023-05-26 21:30:42,409][scr.models_trainer][INFO] - Epoch_8: trainLoss = 2.2907620998746006: valLoss = 1.3440914675218976: valMetric = 0.0; test_loss = 1.7363949379613322; testMetric = 0.0
[2023-05-26 21:41:23,189][scr.models_trainer][INFO] - Epoch_9: trainLoss = 2.4005707240703362: valLoss = 1.108497114936311: valMetric = 0.0; test_loss = 1.3244044120593736; testMetric = 0.0
[2023-05-26 21:52:08,977][scr.models_trainer][INFO] - Epoch_10: trainLoss = 2.514116877079714: valLoss = 1.656884380021886: valMetric = 0.0; test_loss = 2.288715504189973; testMetric = 0.0
[2023-05-26 22:03:10,275][scr.models_trainer][INFO] - Epoch_11: trainLoss = 2.604883952542281: valLoss = 1.423725629871215: valMetric = 0.0; test_loss = 1.9295826938844496; testMetric = 0.0
[2023-05-26 22:14:06,092][scr.models_trainer][INFO] - Epoch_12: trainLoss = 2.688824687891556: valLoss = 1.1308498463438983: valMetric = 0.0; test_loss = 1.3736961894137885; testMetric = 0.0
[2023-05-26 22:25:05,783][scr.models_trainer][INFO] - Epoch_13: trainLoss = 2.845941877541197: valLoss = 1.147615336593072: valMetric = 0.0; test_loss = 1.4471367187397455; testMetric = 0.0
[2023-05-26 22:36:17,570][scr.models_trainer][INFO] - Epoch_14: trainLoss = 2.982624680675467: valLoss = 1.2900580293569133: valMetric = 0.0; test_loss = 1.6665169449262722; testMetric = 0.0
[2023-05-26 22:47:19,438][scr.models_trainer][INFO] - Epoch_15: trainLoss = 3.096220772129042: valLoss = 1.1503029828095557: valMetric = 0.0; test_loss = 1.4354291237810606; testMetric = 0.0
[2023-05-26 22:58:28,114][scr.models_trainer][INFO] - Epoch_16: trainLoss = 3.175980666011264: valLoss = 1.3161550966938536: valMetric = 0.0; test_loss = 1.7327158374171103; testMetric = 0.0
[2023-05-26 23:09:31,768][scr.models_trainer][INFO] - Epoch_17: trainLoss = 3.321939322444854: valLoss = 1.1505425503505535: valMetric = 0.0; test_loss = 1.4958089455481498; testMetric = 0.0
[2023-05-26 23:20:34,553][scr.models_trainer][INFO] - Epoch_18: trainLoss = 3.4213995631371503: valLoss = 0.9980490288542743: valMetric = 0.0; test_loss = 1.4272519664097858; testMetric = 0.0
[2023-05-26 23:31:34,346][scr.models_trainer][INFO] - Epoch_19: trainLoss = 3.5381979165084254: valLoss = 2.2345168025948894: valMetric = 0.0; test_loss = 3.5615295559488316; testMetric = 0.0
[2023-05-26 23:42:46,581][scr.models_trainer][INFO] - Epoch_20: trainLoss = 3.6879513859220587: valLoss = 1.0668799955042163: valMetric = 0.0; test_loss = 1.4932373826221754; testMetric = 0.0
[2023-05-26 23:53:51,637][scr.models_trainer][INFO] - Epoch_21: trainLoss = 3.770055492061632: valLoss = 1.2830528745699168: valMetric = 0.0; test_loss = 1.6831981129543756; testMetric = 0.0
[2023-05-27 00:04:55,350][scr.models_trainer][INFO] - Epoch_22: trainLoss = 3.894500892518014: valLoss = 0.9765496395625427: valMetric = 0.0; test_loss = 2.2638314832903204; testMetric = 0.0
[2023-05-27 00:16:01,969][scr.models_trainer][INFO] - Epoch_23: trainLoss = 3.96568591996169: valLoss = 1.019482925010087: valMetric = 0.0; test_loss = 1.5225384991656068; testMetric = 0.0
[2023-05-27 00:27:06,782][scr.models_trainer][INFO] - Epoch_24: trainLoss = 4.191701950315535: valLoss = 1.2539388318756717: valMetric = 0.0; test_loss = 2.0761401521903213; testMetric = 0.0
[2023-05-27 00:38:16,202][scr.models_trainer][INFO] - Epoch_25: trainLoss = 4.351729299257918: valLoss = 1.2311005903847854: valMetric = 0.0; test_loss = 1.8588435960713254; testMetric = 0.0
